Full Name,total_points,points_per_game_rank,points_per_game,now_cost,minutes,starts_per_90,element_type,ROI,team_code
Kepa Arrizabalaga,118,45,4.1,4.5,2565,1.02,1,0.911111111111111,8
William Saliba,117,29,4.3,4.9,2415,1.01,2,0.8775510204081631,3
Kieran Trippier,198,13,5.2,6.0,3342,1.02,2,0.8666666666666667,4
Solly March,147,21,4.5,5.2,2719,1.03,3,0.8653846153846153,36
Andreas Hoelgebaum Pereira,123,77,3.7,4.3,2696,1.1,3,0.8604651162790699,54
Granit Xhaka,153,47,4.1,4.8,2992,1.08,3,0.8541666666666666,3
Miguel Almirón Rejala,158,20,4.6,5.4,2487,1.05,3,0.8518518518518517,4
Gabriel Martinelli Silva,198,10,5.5,6.5,2789,1.1,3,0.8461538461538461,3
Martin Ødegaard,212,7,5.7,6.9,3132,1.06,3,0.8260869565217391,3
Benjamin White,156,49,4.1,5.0,3054,1.06,2,0.82,3
Ben Mee,143,60,3.9,4.8,3269,1.02,2,0.8125,94
Sven Botman,129,89,3.6,4.5,3127,1.01,2,0.8,4
Pascal Groß,159,30,4.3,5.4,3240,1.03,3,0.7962962962962962,36
Kurt Zouma,88,102,3.5,4.4,1988,1.09,2,0.7954545454545454,21
Douglas Luiz Soares de Paulo,142,72,3.8,4.8,2922,1.02,3,0.7916666666666666,7
Willian Borges da Silva,116,31,4.3,5.5,2127,1.06,3,0.7818181818181817,54
Nick Pope,157,38,4.2,5.4,3261,1.02,1,0.7777777777777778,4
Ivan Toney,182,11,5.5,7.1,2953,1.01,4,0.7746478873239437,94
Fabian Schär,139,63,3.9,5.1,3207,1.01,2,0.7647058823529412,4
Jacob Ramsey,135,64,3.9,5.1,2634,1.06,3,0.7647058823529412,7
Emiliano Martínez Romero,135,73,3.8,5.0,3139,1.03,1,0.76,7
Norberto Murara Neto,93,113,3.4,4.5,2385,1.02,1,0.7555555555555555,91
Dan Burn,129,114,3.4,4.5,3109,1.01,2,0.7555555555555555,4
Luke Shaw,124,54,4.0,5.3,2552,1.06,2,0.7547169811320755,1
Mathias Jensen,132,90,3.6,4.8,2805,1.19,3,0.75,94
Joe Willock,123,103,3.5,4.7,2556,1.09,3,0.7446808510638298,4
Pervis Estupiñán,128,82,3.7,5.0,2674,1.04,2,0.74,36
Oleksandr Zinchenko,99,83,3.7,5.0,2122,1.1,2,0.74,3
