Full Name,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,Element,ROI,FPL_Metric
Dean Henderson,0,12,367,0.0,0.0,6,0.33,172649,,,0,0,1,-1,0.0,743,79,,,2,1.0,0.0,0.0,0,0.01,0.0,0.01,0.0,0.0,26.97,1.5,0.0,Dean,0.0,699,83,31,1.72,0,47.5,288,19,398,False,474.4,124,19,1620,Thigh injury - Expected back 01 Jul,2023-01-14T18:30:07.754696Z,4.5,330,14,0,0,,2,,172649.jpg,4.6,19,4,0,54,3.0,Henderson,5.2,74,14,False,,18,1.0,i,16,17,0.0,734,74,82,1418707,0,1665163,0,0.0,17.8,Henderson,2,603,1.0222222222222221,83.82222222222222
David Raya Martin,0,20,822,,,12,0.32,154561,,,0,0,3,-3,20.1,417,3,,,1,1.0,3.0,3.4,6,0.12,0.0,0.23,0.0,0.11,50.12,1.32,0.0,David,4.4,40,6,46,1.21,0,115.2,104,1,81,True,1125.4,3,1,3420,,,5.0,272,10,1,0,,0,,154561.jpg,4.4,25,5,0,154,4.05,Raya Martin,14.4,27,6,False,,38,1.0,a,4,94,4.0,465,2,166,2641943,0,1655530,0,0.9,34.6,Raya,1,123,0.8800000000000001,146.08
Bernd Leno,0,17,766,,,8,0.22,80201,,,0,0,1,-1,10.0,451,10,,,2,1.0,4.8,4.5,3,0.0,0.0,0.0,0.0,0.0,62.75,1.74,0.0,Bernd,4.5,37,4,51,1.42,0,112.7,107,2,2,False,1115.8,4,2,3240,,,4.5,327,13,0,0,,1,,80201.jpg,3.9,59,13,0,144,4.0,Leno,3.5,95,18,False,,36,1.0,a,9,54,0.0,733,73,142,673415,0,466700,0,1.0,30.9,Leno,3,320,0.8666666666666667,123.06666666666668
William Saliba,1,14,571,0.0,0.0,12,0.45,462424,,,0,0,4,-4,100.8,287,87,,,2,2.0,0.0,0.0,0,0.32,0.01,1.23,0.04,0.91,26.86,1.0,0.03,William,0.0,730,254,25,0.93,2,74.5,199,55,26,False,529.0,105,35,2415,Back injury - Unknown return date,2023-03-17T00:00:06.900817Z,5.0,252,34,1,0,,0,,462424.jpg,4.3,29,3,0,0,0.0,Saliba,15.6,23,7,False,,27,1.01,i,1,3,114.0,254,69,117,5425985,0,4620329,0,0.0,23.9,Saliba,4,21,0.86,100.62
Ethan Pinnock,0,6,575,100.0,100.0,10,0.33,231065,,,0,0,-1,1,104.9,281,83,,,1,2.0,2.2,4.6,15,1.11,0.04,3.84,0.13,2.73,40.17,1.34,0.09,Ethan,5.6,15,2,34,1.13,3,113.8,105,15,92,False,751.6,32,5,2700,,2022-07-22T23:00:04.442209Z,4.5,512,116,1,0,,0,,231065.jpg,3.7,79,17,0,0,0.0,Pinnock,0.9,199,71,False,,30,1.0,a,4,94,279.0,130,12,112,254754,0,163810,0,1.3,25.5,Pinnock,0,134,0.8222222222222223,92.0888888888889
Vicente Guaita,0,10,484,100.0,100.0,6,0.22,40836,,,0,0,-1,1,0.0,638,72,,,1,1.0,0.0,0.0,0,0.01,0.0,0.01,0.0,0.0,38.2,1.41,0.0,Vicente,0.0,572,78,34,1.26,0,66.8,225,14,152,False,668.4,50,14,2430,,2023-04-07T13:30:06.811754Z,4.5,473,19,0,0,,0,,40836.jpg,3.7,78,16,0,85,3.15,Guaita,1.4,163,23,False,,27,1.0,a,7,31,0.0,615,63,99,542689,0,551835,0,0.0,22.5,Guaita,1,241,0.8222222222222223,81.4
Tyrone Mings,3,17,617,100.0,100.0,12,0.34,149484,,,0,0,2,-2,87.7,308,97,,,4,2.0,1.5,1.4,1,0.95,0.03,1.91,0.06,0.96,47.28,1.35,0.03,Tyrone,1.4,237,76,40,1.14,1,87.0,158,35,39,False,657.2,55,13,3150,,2023-02-12T22:30:09.087745Z,4.5,307,51,1,0,,0,,149484.jpg,3.7,81,18,0,0,0.0,Mings,12.5,37,12,False,,35,1.0,a,2,7,121.0,246,63,130,2097342,0,1363664,0,0.3,27.7,Mings,7,45,0.8222222222222223,106.8888888888889
José Malheiro de Sá,0,18,683,,,11,0.31,149065,,,0,0,0,0,0.0,757,84,,,2,1.0,1.5,1.3,1,0.0,0.0,0.0,0.0,0.0,54.63,1.52,0.0,José,1.8,195,19,55,1.53,0,84.7,162,5,478,False,845.6,18,5,3240,,,5.0,190,8,0,0,,2,,149065.jpg,4.1,48,11,0,108,3.0,Malheiro de Sá,5.1,75,15,False,,36,1.0,a,20,39,0.0,752,80,148,1068154,0,1012521,0,0.4,29.6,Sá,2,743,0.82,121.36
Kepa Arrizabalaga,0,15,575,100.0,100.0,9,0.32,109745,,,0,0,0,0,0.1,510,12,,,2,1.0,1.3,1.5,3,0.0,0.0,0.0,0.0,0.0,38.34,1.35,0.0,Kepa,2.0,162,15,33,1.16,0,70.6,216,13,133,False,706.2,43,13,2565,,2022-10-29T17:30:06.932408Z,5.0,355,18,0,0,,0,,109745.jpg,4.1,45,10,0,91,3.19,Arrizabalaga,6.4,61,10,False,,29,1.02,a,6,8,0.0,653,72,118,1984646,0,1341981,0,0.4,26.2,Arrizabalaga,1,203,0.82,96.75999999999999
Kieran Trippier,9,39,941,100.0,100.0,16,0.43,77794,1.0,,0,0,10,-10,1818.5,1,1,1.0,,5,2.0,5.1,4.3,0,12.03,0.32,12.88,0.34,0.85,38.41,1.03,0.02,Kieran,3.8,59,14,31,0.83,1,284.3,9,1,357,True,904.8,13,2,3342,,2023-05-18T23:00:10.858550Z,6.5,68,5,1,0,,0,,77794.jpg,5.2,13,1,0,0,0.0,Trippier,62.4,2,1,False,,38,1.02,a,15,4,117.0,250,66,198,7596439,0,3240266,0,0.6,33.0,Trippier,5,552,0.8,158.4
