Full Name,total_points,points_per_game_rank,points_per_game,now_cost,minutes,starts_per_90,element_type,ROI,team_code,FPL_metric
Kieran Trippier,198,13,5.2,6.5,3342,1.02,2.0,0.8,4,158.4
Erling Haaland,272,2,7.8,14.0,2767,1.07,4.0,0.5571428571428572,43,151.54285714285714
Martin Ødegaard,212,7,5.7,8.5,3132,1.06,3.0,0.6705882352941177,3,142.16470588235296
Gabriel Martinelli Silva,198,10,5.5,8.0,2789,1.1,3.0,0.6875,3,136.125
Bukayo Saka,202,12,5.3,8.5,3183,1.05,3.0,0.6235294117647059,3,125.95294117647059
Mohamed Salah,239,5,6.3,12.5,3290,1.01,3.0,0.504,14,120.456
Nick Pope,157,38,4.2,5.5,3261,1.02,1.0,0.7636363636363637,4,119.89090909090909
Benjamin White,156,49,4.1,5.5,3054,1.06,2.0,0.7454545454545454,3,116.29090909090908
Miguel Almirón Rejala,158,20,4.6,6.5,2487,1.05,3.0,0.7076923076923076,4,111.8153846153846
Ben Mee,143,60,3.9,5.0,3269,1.02,2.0,0.78,94,111.54
Fabian Schär,139,63,3.9,5.0,3207,1.01,2.0,0.78,4,108.42
Pascal Groß,159,30,4.3,6.5,3240,1.03,3.0,0.6615384615384615,36,105.18461538461538
Granit Xhaka,153,47,4.1,6.0,2992,1.08,3.0,0.6833333333333332,3,104.54999999999998
Sven Botman,129,89,3.6,4.5,3127,1.01,2.0,0.8,4,103.2
Ollie Watkins,175,18,4.7,8.0,3129,1.04,4.0,0.5875,7,102.8125
Eberechi Eze,159,39,4.2,6.5,2631,1.03,3.0,0.6461538461538462,31,102.73846153846155
Emiliano Martínez Romero,135,73,3.8,5.0,3139,1.03,1.0,0.76,7,102.6
Solly March,147,21,4.5,6.5,2719,1.03,3.0,0.6923076923076923,36,101.76923076923077
William Saliba,117,29,4.3,5.0,2415,1.01,2.0,0.86,3,100.62
Callum Wilson,157,14,5.1,8.0,1870,1.01,4.0,0.6375,4,100.08749999999999
Kevin De Bruyne,183,8,5.7,10.5,2413,1.04,3.0,0.5428571428571429,43,99.34285714285716
Lukasz Fabianski,127,104,3.5,4.5,3111,1.04,1.0,0.7777777777777778,21,98.77777777777779
Douglas Luiz Soares de Paulo,142,72,3.8,5.5,2922,1.02,3.0,0.6909090909090909,7,98.10909090909091
Dan Burn,129,114,3.4,4.5,3109,1.01,2.0,0.7555555555555555,4,97.46666666666667
Kepa Arrizabalaga,118,45,4.1,5.0,2565,1.02,1.0,0.82,8,96.75999999999999
Pervis Estupiñán,128,82,3.7,5.0,2674,1.04,2.0,0.74,36,94.72
Leandro Trossard,154,32,4.3,7.0,2237,1.05,3.0,0.6142857142857142,3,94.6
Morgan Gibbs-White,145,66,3.9,6.0,3151,1.03,3.0,0.65,17,94.25
Luke Shaw,124,54,4.0,5.5,2552,1.06,2.0,0.7272727272727273,1,90.18181818181819
Bryan Mbeumo,150,68,3.9,6.5,2905,1.12,3.0,0.6,94,90.0
Jacob Ramsey,135,64,3.9,6.0,2634,1.06,3.0,0.65,7,87.75
Mathias Jensen,132,90,3.6,5.5,2805,1.19,3.0,0.6545454545454545,94,86.4
Virgil van Dijk,127,57,4.0,6.0,2835,1.02,2.0,0.6666666666666666,14,84.66666666666666
Phil Foden,142,27,4.4,7.5,1832,1.08,3.0,0.5866666666666667,43,83.30666666666667
Andreas Hoelgebaum Pereira,123,77,3.7,5.5,2696,1.1,3.0,0.6727272727272727,54,82.74545454545455
Trent Alexander-Arnold,156,42,4.2,8.0,2922,1.05,2.0,0.525,14,81.9
James Maddison,135,24,4.5,7.5,2479,1.02,3.0,0.6,13,81.0
Philip Billing,126,106,3.5,5.5,2766,1.11,3.0,0.6363636363636364,91,80.18181818181819
Dwight McNeil,126,107,3.5,5.5,2490,1.01,3.0,0.6363636363636364,11,80.18181818181819
Michael Olise,132,92,3.6,6.0,2743,1.02,3.0,0.6,31,79.2
Joe Willock,123,103,3.5,5.5,2556,1.09,3.0,0.6363636363636364,4,78.27272727272727
Dominic Solanke,130,67,3.9,6.5,2865,1.01,4.0,0.6,91,78.0
Alex Iwobi,126,122,3.3,5.5,3379,1.01,3.0,0.6,11,75.6
Gabriel Fernando de Jesus,125,15,4.8,8.0,2064,1.05,4.0,0.6,3,75.0
Rico Henry,112,153,3.0,4.5,3240,1.03,2.0,0.6666666666666666,94,74.66666666666666
Pierre-Emile Højbjerg,120,117,3.4,5.5,3131,1.01,3.0,0.6181818181818182,6,74.18181818181819
Oleksandr Zinchenko,99,83,3.7,5.0,2122,1.1,2.0,0.74,3,73.26
Son Heung-min,152,44,4.2,9.0,2886,1.03,3.0,0.4666666666666667,6,70.93333333333334
